Var1,Var2,Var3,Var4,Var5
0,2.04580742047157,0.1704,2.58489751815796,0.2444
1,1.9077369224878,0.3481,2.67581987380981,0.2
2,1.8319986720144,0.3259,9.0717945098877,0.1556
3,1.7450799897865,0.3926,8.94533348083496,0.2
4,1.74092401840069,0.4272,9.24305057525635,0.1556
5,1.65467470663565,0.4099,7.54703617095947,0.1556
6,1.84603514200375,0.3358,3.79522776603699,0.1556
7,1.46291071544459,0.4099,2.38923573493958,0.2222
8,1.53977522143611,0.4074,1.9033477306366,0.3556
9,1.53858640900365,0.4148,1.73525607585907,0.4
10,1.45664925045437,0.4272,1.64762675762177,0.4444
11,1.35944562782476,0.4642,1.55657756328583,0.4667
12,1.25174757875042,0.4815,1.47764194011688,0.4222
13,1.19369774983253,0.5358,1.49908649921417,0.4444
14,1.21667605270574,0.5185,1.45976328849792,0.4
15,1.26707529138636,0.4914,1.4332070350647,0.3778
16,1.21219005849626,0.5111,1.40736353397369,0.3778
17,1.23411092640441,0.5037,1.36371791362762,0.3778
18,1.22903616340072,0.5309,1.36091434955597,0.3778
19,1.17965037881592,0.5383,1.32069885730743,0.4
20,1.1993469176469,0.5284,1.31139600276947,0.4444
21,1.13092810724988,0.5704,1.30712890625,0.4667
22,1.24505919880337,0.5037,1.30700576305389,0.4444
23,1.16394323184166,0.5654,1.26942300796509,0.4444
24,1.1386156692917,0.5457,1.24600613117218,0.4667
25,1.20590811158404,0.5284,1.22866809368134,0.5111
26,1.18116417196062,0.5383,1.21247339248657,0.5333
27,1.19882928147728,0.5309,1.20739150047302,0.5333
28,1.25347489928022,0.4889,1.20840084552765,0.5333
29,1.21199017395208,0.5062,1.20272755622864,0.5333
30,1.19931385840899,0.5457,1.19338059425354,0.5333
31,1.23052490199054,0.5185,1.19582211971283,0.5333
32,1.15096024377846,0.5704,1.17638182640076,0.5333
33,1.16281267154364,0.5309,1.16489958763123,0.5333
34,1.18745680429317,0.5259,1.15190386772156,0.5333
35,1.15212603851601,0.5506,1.16905081272125,0.5333
36,1.23521580813844,0.5136,1.16101562976837,0.5333
37,1.14376522876598,0.5235,1.14548206329346,0.5556
38,1.23533726032869,0.4988,1.15046858787537,0.5556
39,1.24194862665953,0.4938,1.14977514743805,0.5111
40,1.15795172291037,0.5506,1.15977466106415,0.5333
41,1.23349886470371,0.5284,1.14667654037476,0.5556
42,1.21500213793766,0.5012,1.15390729904175,0.5333
43,1.21131721911607,0.521,1.14512300491333,0.5333
44,1.16846554073287,0.5457,1.14297211170197,0.5556
45,1.21535588488167,0.521,1.14351141452789,0.5778
46,1.19490974773595,0.5259,1.14186298847198,0.5333
47,1.23276752601435,0.5136,1.12809538841248,0.5333
48,1.20996031643432,0.5111,1.11865150928497,0.5111
49,1.20321384771371,0.5235,1.1301029920578,0.6
50,1.12472103039424,0.5753,1.14804840087891,0.5778
51,1.17806447288136,0.5605,1.14341163635254,0.5556
52,1.22732535262167,0.5259,1.15483546257019,0.5556
53,1.21276477972666,0.4938,1.16245138645172,0.5556
54,1.16330591690393,0.5704,1.16418600082397,0.5556
55,1.19262274400688,0.516,1.15229785442352,0.5333
56,1.19571726851993,0.5457,1.13750767707825,0.5333
57,1.17916075682934,0.5062,1.1322078704834,0.5111
58,1.23188769596594,0.5037,1.15629374980927,0.5333
59,1.19143841296066,0.5284,1.16467332839966,0.5333
60,1.1389219849198,0.563,1.15952348709106,0.5111
61,1.21287569293269,0.5185,1.17108988761902,0.5333
62,1.24601931336485,0.5111,1.17532336711884,0.5333
63,1.14873803986443,0.5531,1.17528021335602,0.5111
64,1.13857131092637,0.5457,1.15851759910583,0.5556
65,1.18676663622444,0.5383,1.1577113866806,0.5333
66,1.23465465027609,0.521,1.15681958198547,0.5333
67,1.21469869289869,0.5309,1.1626660823822,0.5333
68,1.17324707831865,0.5358,1.16385889053345,0.5556
69,1.19266645702315,0.516,1.17158257961273,0.5556
70,1.21595048904419,0.5407,1.17445158958435,0.5556
71,1.15510627664166,0.5802,1.18860745429993,0.5556
72,1.15586808581411,0.5605,1.20618188381195,0.5333
73,1.20156600887393,0.5506,1.20880556106567,0.5333
74,1.17012479275833,0.5259,1.18322741985321,0.5333
75,1.18201185744486,0.5086,1.17719519138336,0.5778
76,1.18148170724327,0.5333,1.18360543251038,0.5778
77,1.16063313719667,0.5358,1.18222856521606,0.5778
78,1.21685237354702,0.5358,1.18342852592468,0.5556
79,1.18479376369052,0.5457,1.18595051765442,0.5556
80,1.20489092962241,0.521,1.18745315074921,0.5556
81,1.19980857254546,0.5457,1.19718635082245,0.5556
82,1.20507079289283,0.5111,1.18370068073273,0.5556
83,1.18007325537411,0.5432,1.19400334358215,0.5556
84,1.25134350341043,0.5111,1.18835473060608,0.5778
85,1.15711196116459,0.5407,1.18568623065948,0.5556
86,1.22621358765496,0.5358,1.19366216659546,0.5333
87,1.23307929804296,0.5407,1.19031417369843,0.5556
88,1.21194847424825,0.5012,1.18884479999542,0.5333
89,1.20328676700592,0.5358,1.19084787368774,0.5111
90,1.19689025849472,0.5259,1.17158317565918,0.5556
91,1.16964768480372,0.5407,1.20060276985168,0.5111
92,1.2057276095873,0.5333,1.19517207145691,0.5333
93,1.18765094103637,0.5358,1.17832171916962,0.5556
94,1.18832697397397,0.5111,1.17864263057709,0.5333
95,1.15718229023027,0.5679,1.1781884431839,0.5556
96,1.18531310484733,0.5333,1.17974460124969,0.5111
97,1.22725013155996,0.5358,1.18061935901642,0.5556
98,1.18184684529717,0.5358,1.17196869850159,0.5556
99,1.20437558639197,0.5012,1.17325079441071,0.5556
